stop_id,stop_name,stop_lat,stop_lon,color
METROBUSL1-OLIVO,Metrobús Olivo,19.35463,-99.18516,D40D0D
METROBUSL1-ALTAVISTA,Metrobús Altavista,19.3509,-99.18636,D40D0D
METROBUSL1-BOMBILLA,Metrobús La Bombilla,19.34682,-99.18773,D40D0D
METROBUSL1-DRGALVEZ,Metrobús Dr. Gálvez,19.34071,-99.19004,D40D0D
METROBUSL1-CU,Metrobús Ciudad Universitaria,19.32295,-99.18847,D40D0D
METROBUSL1-CCU,Metrobús CCU,19.31516,-99.18753,D40D0D
METROBUSL1-PERISUR,Metrobús Perisur,19.30411,-99.18613,D40D0D
METROBUSL1-VILLAOLIMPICA,Metrobús Villa Olímpica,19.29909,-99.18551,D40D0D
METROBUSL1-CORREGIDORA,Metrobús Corregidora,19.29407,-99.18103,D40D0D
METROBUSL1-AYUNTAMIENTO,Metrobús Ayuntamiento,19.2926,-99.17754,D40D0D
METROBUSL1-FUENTESBROTAN,Metrobús Fuentes Brotantes,19.2881,-99.1746,D40D0D
METROBUSL1-STAURSULA,Metrobús Santa Ursula,19.28326,-99.1753,D40D0D
METROBUSL1-LAJOYA,Metrobús La Joya,19.28032,-99.16999,D40D0D
METROBUSL1-CAMINERO,Metrobús El Caminero,19.27931,-99.16908,D40D0D
METROBUSL2-TEPALCATES,Metrobús Tepalcates,19.39077,-99.04761,8D1A96
METROBUSL2-NICOLASBRAVO,Metrobús Nicolás Bravo,19.3935,-99.05093,8D1A96
METROBUSL2-CANALSANJUAN,Metrobús Canal de San Juan,19.39671,-99.05655,8D1A96
METROBUSL2-GRALANTONIOLEO,Metrobús General Antonio de León,19.38538,-99.05173,8D1A96
METROBUSL2-CONSTAPATZIN,Metrobús Constitución de Apatztingán,19.38903,-99.05985,8D1A96
METROBUSL2-CCHOTE,Metrobús CCH Oriente,19.38333,-99.06079,8D1A96
METROBUSL2-LEYESREFORMA,Metrobús Leyes de Reforma,19.38347,-99.06582,8D1A96
METROBUSL2-DELMORAL,Metrobús Del Moral,19.3842,-99.07092,8D1A96
METROBUSL2-RIOFRIO,Metrobús Río Frío,19.38763,-99.07428,8D1A96
METROBUSL2-ROJOGOMEZ,Metrobús Rojo Gómez,19.38451,-99.07637,8D1A96
METROBUSL2-RIOMAYO,Metrobús Río Mayo,19.38696,-99.08002,8D1A96
METROBUSL2-RIOTECOLUTLA,Metrobús Río Tecolutla,19.38906,-99.08315,8D1A96
METROBUSL2-RODEO,Metrobús El Rodeo,19.39166,-99.08708,8D1A96
METROBUSL2-UPIICSA,Metrobús UPIICSA,19.39394,-99.09039,8D1A96
