Origen,Destino,Distancia
METROBUSL1-NVOLEON,METROBUSL2-ESCANDON,372.68582256089854
METROBUSL2-ESCANDON,METROBUSL2-PATRIOTISMO,393.03736917053425
METROBUSL2-PATRIOTISMO,METROBUSL2-DELASALLE,681.9962181851533
METROBUSL2-DELASALLE,METROBUSL2-PARQUELIRA,586.6819351700079
METROBUSL2-PARQUELIRA,METROBUSL2-ANTONMACEO,466.96443354520767
METROBUSL2-ANTONMACEO,METROBUSL2-TACUBAYA,340.74514485947304
01METRO-Xola,METROBUSL2-XOLA,272.43148341222997
01METRO-Coyuya,METROBUSL2-COYUYA,346.1199771490785
01METRO-Tacubaya,METROBUSL2-TACUBAYA,98.28827650151433
METROBUSL3-TENAYUCA,METROBUSL3-SANJOSEESCA,811.0360205747825
METROBUSL3-SANJOSEESCA,METROBUSL3-TRESANEGAS,887.4021845550237
METROBUSL3-TRESANEGAS,METROBUSL3-JUPITER,817.406333348997
METROBUSL3-JUPITER,METROBUSL3-PATERA,587.8700398743363
METROBUSL3-PATERA,METROBUSL3-PNTE146,433.3132770373181
METROBUSL3-PNTE146,METROBUSL3-MONTEVIDEO,456.38930195181865
METROBUSL3-MONTEVIDEO,METROBUSL3-PNTE134,403.61118770911867
METROBUSL3-PNTE134,METROBUSL3-PNTE 128,371.47598080891674
METROBUSL3-PNTE 128,METROBUSL3-MAGDASALINAS,667.8007572647379
METROBUSL3-MAGDASALINAS,METROBUSL3-COLTONGO,475.9536000070219
METROBUSL3-COLTONGO,METROBUSL3-CUITLAHUAC,673.3988103901711
METROBUSL3-CUITLAHUAC,METROBUSL3-HEROENACOZA,352.5966837515367
METROBUSL3-HEROENACOZA,METROBUSL3-HOSPRAZA,373.91401964293516
METROBUSL3-HOSPRAZA,METROBUSL1-LARAZA,312.76197759141877
METROBUSL1-LARAZA,METROBUSL1-CIRCUITO,555.0804548943129
METROBUSL1-CIRCUITO,METROBUSL3-TOLNAHUAC,378.06275059143377
METROBUSL3-TOLNAHUAC,METROBUSL3-TLATELOLCO,492.53510105140595
METROBUSL3-TLATELOLCO,METROBUSL3-RFLORESMAGON,429.6610134453863
METROBUSL3-RFLORESMAGON,METROBUSL3-GUERRERO,653.9579830823462
METROBUSL3-GUERRERO,METROBUSL1-BUENAVISTA,502.3633697382681
METROBUSL1-BUENAVISTA,METROBUSL3-MINA,715.3398417271122
METROBUSL3-MINA,METROBUSL3-HIDALGO,527.2285723932721
METROBUSL3-HIDALGO,METROBUSL3-JUAREZ,531.8369275598691
METROBUSL3-JUAREZ,METROBUSL3-BALDERAS,365.70654633201093
METROBUSL3-BALDERAS,METROBUSL3-CUAUHTEMOC,624.5972789498328
METROBUSL3-CUAUHTEMOC,METROBUSL3-JARDINPUSHK,508.6123571282898
METROBUSL3-JARDINPUSHK,METROBUSL3-HOSPGENERAL,664.6307435630401
METROBUSL3-HOSPGENERAL,METROBUSL3-DRMARQUEZ,371.44164010904854
METROBUSL3-DRMARQUEZ,METROBUSL3-CENTROMEDICO,428.0703241356072
METROBUSL3-CENTROMEDICO,METROBUSL3-OBREROMUNDIAL,692.2776616331031
METROBUSL3-OBREROMUNDIAL,METROBUSL2-ETIOPIA,452.54656483851244
METROBUSL2-ETIOPIA,METROBUSL3-LUZSAVINON,679.5415437462191
METROBUSL3-LUZSAVINON,METROBUSL3-EUGENIA,557.7167896050041
METROBUSL3-EUGENIA,METROBUSL3-DIVISIONNTE,693.8289570119407
METROBUSL3-DIVISIONNTE,METROBUSL3-MIGUELLAURENT,638.9340967923728
01METRO-Hidalgo,METROBUSL3-HIDALGO,158.86971142135238
01METRO-Buenavista,METROBUSL1-BUENAVISTA,148.12694716177543
METROBUSL1-BUENAVISTA,METROBUSL4-CUAUHTEMOC0,252.90202038505748
METROBUSL4-CUAUHTEMOC0,METROBUSL4-MUSEOSCARL0,510.2146637044349
METROBUSL4-MUSEOSCARL0,METROBUSL3-HIDALGO,497.3258128314363
METROBUSL3-HIDALGO,METROBUSL4-BELLASARTES0,464.69438599981373
METROBUSL4-BELLASARTES0,METROBUSL4-TEATROBLAN0,314.8286841010567
METROBUSL4-TEATROBLAN0,METROBUSL4-REPCHILE0,433.2213802746581
METROBUSL4-REPCHILE0,METROBUSL4-REPARGEN0,413.6569443742935
METROBUSL4-REPARGEN0,METROBUSL4-TEATROPUEB0,464.7572522069868
METROBUSL4-TEATROPUEB0,METROBUSL4-MIXCALCO0,366.24295019500556
METROBUSL4-MIXCALCO0,METROBUSL4-FERROCINT0,269.74567033778993
METROBUSL4-FERROCINT0,METROBUSL4-MORELOS0,274.49469546366356
METROBUSL4-MORELOS0,METROBUSL4-ARCHGRALNAC0,403.6731519023407
METROBUSL4-ARCHGRALNAC0,METROBUSL4-LAZARO0,472.19474599011585
METROBUSL4-LAZARO0,METROBUSL4-MOCTEZUMA,593.3935478858181
METROBUSL4-MOCTEZUMA,METROBUSL4-EDOMOLINA,446.83764562683086
METROBUSL4-EDOMOLINA,METROBUSL4-HOSPBALBUE,231.43754336653478
METROBUSL4-HOSPBALBUE,METROBUSL4-CECILIOROB0,390.17679005923287
METROBUSL4-CECILIOROB0,METROBUSL4-MDOSONORA0,478.89470239959127
METROBUSL4-MDOSONORA0,METROBUSL4-MERCED,330.19539917896134
METROBUSL4-MERCED,METROBUSL4-CRUCESNTE,501.80241021111715
METROBUSL4-CRUCESNTE,METROBUSL4-CRUCESSUR,290.543605194424
METROBUSL4-CRUCESSUR,METROBUSL4-MUSEOCDAD0,431.36853709691684
METROBUSL4-MUSEOCDAD0,METROBUSL4-PINOSUAREZ,252.42119636013138
METROBUSL4-PINOSUAREZ,METROBUSL4-ISABELCATOLI0,552.3472779722496
METROBUSL4-ISABELCATOLI0,METROBUSL4-SALVADOR0,257.62425842242044
METROBUSL4-SALVADOR0,METROBUSL4-EJECTRAL0,264.78688486038635
METROBUSL4-EJECTRAL0,METROBUSL4-MDOSANJUAN0,289.39007913137357
METROBUSL4-MDOSANJUAN0,METROBUSL3-JUAREZ,396.75219916087644
METROBUSL3-JUAREZ,METROBUSL4-VOCA5,273.0684093632121
METROBUSL4-VOCA5,METROBUSL4-GTACOLON0,441.5799277551215
METROBUSL4-GTACOLON0,METROBUSL1-PLAZAREPU,244.25703690022652
METROBUSL1-PLAZAREPU,METROBUSL4-AEROT2,8232.145840644313
01METRO-SanLazaro,METROBUSL4-LAZARO0,293.9452548914333
METROBUSL5-RIOREMEDIOS,METROBUSL5-NEWSDIVINE,759.9048089780838
METROBUSL5-NEWSDIVINE,METROBUSL5-5MAYO,443.64526257335785
METROBUSL5-5MAYO,METROBUSL5-VASCOQUIRO,454.8737465281245
METROBUSL5-VASCOQUIRO,METROBUSL5-COYOL,703.4904296397864
METROBUSL5-COYOL,METROBUSL5-PREPA3,465.13970015483613
METROBUSL5-PREPA3,METROBUSL5-SANJUANARAGO,435.75664663753986
METROBUSL5-SANJUANARAGO,METROBUSL5-RIOGPE,463.17640563595097
METROBUSL5-RIOGPE,METROBUSL5-TALISMAN,597.3290367353595
METROBUSL5-TALISMAN,METROBUSL5-VICTORIA,436.29874943051624
METROBUSL5-VICTORIA,METROBUSL5-OTE101,780.9917961419161
METROBUSL5-OTE101,METROBUSL5-RIOSTACOLETA,571.0547762246339
METROBUSL5-RIOSTACOLETA,METROBUSL5-RIOCONSULADO,284.9273375490328
METROBUSL5-RIOCONSULADO,METROBUSL5-CANALNTE,493.60552471425746
METROBUSL5-CANALNTE,METROBUSL5-DVOEDOMOLINA,566.4989111921936
METROBUSL5-DVOEDOMOLINA,METROBUSL4-ARCHGRALNAC0,869.1160773607561
METROBUSL4-ARCHGRALNAC0,METROBUSL5-SANLAZARO,677.0991477551461
01METRO-ElRosario,METROBUSL6-ROSARIO,276.7296615884881
METROBUSL6-ROSARIO,METROBUSL6-COLBACH1,549.6999148463448
METROBUSL6-COLBACH1,METROBUSL6-CULTURAS,498.7168347309661
METROBUSL6-CULTURAS,METROBUSL6-UAMAZCAPOTZ,1187.4643631681024
METROBUSL6-UAMAZCAPOTZ,METROBUSL6-TECNOPARQUE,562.3119547062015
METROBUSL6-TECNOPARQUE,METROBUSL6-NTE59,1497.676238085172
METROBUSL6-NTE59,METROBUSL6-NTE45,624.135538566972
METROBUSL6-NTE45,METROBUSL3-MONTEVIDEO,720.0428877369771
METROBUSL3-MONTEVIDEO,METROBUSL6-LIND-VALLEJO,540.2284384322111
METROBUSL6-LIND-VALLEJO,METROBUSL6-INSTPETRO,308.88537505877963
METROBUSL6-INSTPETRO,METROBUSL6-BARTOLO,648.8555188198333
METROBUSL6-BARTOLO,METROBUSL6-IPN,698.1988446559304
METROBUSL6-IPN,METROBUSL6-RIOBAMBA,535.8097986220832
METROBUSL6-RIOBAMBA,METROBUSL1-DVO18MARZO,619.9647507450501
METROBUSL1-DVO18MARZO,METROBUSL6-VILLA,321.05339660994844
METROBUSL6-VILLA,METROBUSL6-MISTERIOS,262.8519392321388
METROBUSL6-MISTERIOS,METROBUSL6-HOSPINFVILLA,352.96092247056447
METROBUSL6-HOSPINFVILLA,METROBUSL6-DELGAM,523.5894395242972
METROBUSL6-DELGAM,METROBUSL6-MARTINCARR,762.0848028329547
METROBUSL6-MARTINCARR,METROBUSL6-HOSPGRALVILLA,473.01519468963977
METROBUSL6-HOSPGRALVILLA,METROBUSL5-SANJUANARAGO,457.8669058305006
METROBUSL5-SANJUANARAGO,METROBUSL6-GRANCANAL,481.71493496122895
METROBUSL6-GRANCANAL,METROBUSL6-CASASALEMAN,568.6734780074373
METROBUSL6-CASASALEMAN,METROBUSL6-PBLOARAGON,424.10677926866856
METROBUSL6-PBLOARAGON,METROBUSL6-LORETOFABE,692.2819276316663
METROBUSL6-LORETOFABE,METROBUSL6-416PTE,593.5142195684035
METROBUSL6-416PTE,METROBUSL6-482,748.2347764278646
METROBUSL6-482,METROBUSL6-414,447.47228359590935
METROBUSL6-414,METROBUSL6-DVOGALEANA,1304.7986103632466
METROBUSL6-DVOGALEANA,METROBUSL6-AMPLPROVID,327.10334370332987
METROBUSL6-AMPLPROVID,METROBUSL6-VOLCANFUEGO,432.9965176713899
METROBUSL6-VOLCANFUEGO,METROBUSL6-PRADERA,587.5526963742855
METROBUSL6-PRADERA,METROBUSL6-416OTE,322.65960047289764
METROBUSL6-416OTE,METROBUSL6-COLBACH9,637.2457710617286
METROBUSL6-COLBACH9,METROBUSL6-FCOMORAZAN,451.60972745632364
METROBUSL6-FCOMORAZAN,METROBUSL6-VILLARAGON,338.74155059268395
01METRO-MartinCarrera,METROBUSL6-MARTINCARR,245.64238483944166
METROBUSL1-INDIOSVERDES,METROBUSL6-MISTERIOS,715.6344703324976
METROBUSL6-MISTERIOS,METROBUSL6-HOSPINFVILLA,425.3455413018665
METROBUSL6-HOSPINFVILLA,METROBUSL6-DELGAM,378.23855591484767
METROBUSL6-DELGAM,METROBUSL7-GARRIDO0,570.6131612657814
METROBUSL7-GARRIDO0,METROBUSL7-TALISMAN0,532.9180109531453
METROBUSL7-TALISMAN0,METROBUSL7-NECAXA0,296.3351620617612
METROBUSL7-NECAXA0,METROBUSL7-EXCELSIOR0,490.9798890188917
METROBUSL7-EXCELSIOR0,METROBUSL7-ROBLESDZ0,436.1168743319481
METROBUSL7-ROBLESDZ0,METROBUSL7-CLAVE0,434.02063167453736
METROBUSL7-CLAVE0,METROBUSL7-MISTERIOS0,300.87991854283536
METROBUSL7-MISTERIOS0,METROBUSL7-MDOBEET0,566.1561048656805
METROBUSL7-MDOBEET0,METROBUSL7-PERALVILLO0,466.1195602919169
METROBUSL7-PERALVILLO0,METROBUSL7-TRESCULT0,329.63142230324644
METROBUSL7-TRESCULT0,METROBUSL7-GTACUI0,247.93612932543468
